tournament,city,country,date,tournament_type,discipline,round,winner,nb_sets,retired,game_1_score,game_2_score,game_3_score,team_one_player_one,team_one_player_two,team_two_player_one,team_two_player_two,team_one_player_one_nationality,team_one_player_two_nationality,team_two_player_one_nationality,team_two_player_two_nationality,team_one_total_points,team_two_total_points,team_one_most_consecutive_points,team_two_most_consecutive_points,team_one_game_points,team_two_game_points,team_one_most_consecutive_points_game_1,team_two_most_consecutive_points_game_1,team_one_game_points_game_1,team_two_game_points_game_1,game_1_scores,team_one_most_consecutive_points_game_2,team_two_most_consecutive_points_game_2,team_one_game_points_game_2,team_two_game_points_game_2,game_2_scores,team_one_most_consecutive_points_game_3,team_two_most_consecutive_points_game_3,team_one_game_points_game_3,team_two_game_points_game_3,game_3_scores
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,30-01-2018,HSBC BWF World Tour Super 500,WD,Qualification quarter final,2,3,False,21-18,8-21,9-21,Suci Rizky Andini,Maretha Dea Giovani,Rutaparna Panda,Rutaparna Panda,INA,INA,IND,IND,38,60,4,8,2,3,4,3,2,0,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '5-1', '5-2', '6-2', '7-2', '7-3', '8-3', '8-4', '8-5', '8-6', '9-6', '10-6', '10-7', '10-8', '11-8', '12-8', '12-9', '13-9', '13-10', '14-10', '14-11', '14-12', '14-13', '15-13', '16-13', '16-14', '16-15', '17-15', '17-16', '17-17', '18-17', '19-17', '20-17', '20-18', '21-18']",3.0,5.0,0.0,2.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '3-2', '3-3', '3-4', '4-4', '4-5', '4-6', '4-7', '4-8', '4-9', '5-9', '5-10', '5-11', '5-12', '6-12', '6-13', '6-14', '6-15', '6-16', '6-17', '7-17', '7-18', '7-19', '7-20', '8-20', '8-21']",2.0,8.0,0.0,1.0,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '2-4', '2-5', '2-6', '3-6', '4-6', '4-7', '4-8', '4-9', '4-10', '4-11', '4-12', '4-13', '4-14', '5-14', '5-15', '6-15', '6-16', '7-16', '7-17', '8-17', '8-18', '8-19', '9-19', '9-20', '9-21']"
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,31-01-2018,HSBC BWF World Tour Super 500,WD,Round of 32,1,2,False,21-8,21-14,,Kittipak Dubthuk,Natcha Saengchote,Sumitra Pujari,Sumitra Pujari,THA,THA,IND,IND,42,22,7,2,2,0,7,2,1,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '6-0', '7-0', '7-1', '8-1', '9-1', '10-1', '10-2', '11-2', '11-3', '12-3', '12-4', '13-4', '14-4', '15-4', '15-5', '16-5', '17-5', '17-6', '18-6', '19-6', '19-7', '19-8', '20-8', '21-8']",4.0,2.0,1.0,0.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '4-4', '4-5', '5-5', '6-5', '6-6', '7-6', '7-7', '8-7', '9-7', '10-7', '10-8', '11-8', '11-9', '12-9', '13-9', '13-10', '13-11', '14-11', '14-12', '14-13', '15-13', '16-13', '17-13', '18-13', '18-14', '19-14', '20-14', '21-14']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,31-01-2018,HSBC BWF World Tour Super 500,WD,Round of 32,2,2,False,7-21,8-21,,Simran Singhi,Ritika Thaker,Wenjing Dong,Wenjing Dong,IND,IND,CHN,CHN,15,42,2,7,0,2,2,5,0,1,"['0-0', '0-1', '0-2', '0-3', '0-4', '1-4', '1-5', '1-6', '1-7', '2-7', '3-7', '3-8', '3-9', '3-10', '3-11', '4-11', '4-12', '4-13', '4-14', '4-15', '4-16', '5-16', '5-17', '6-17', '6-18', '6-19', '7-19', '7-20', '7-21']",2.0,7.0,0.0,1.0,"['0-0', '1-0', '1-1', '1-2', '1-3', '2-3', '2-4', '2-5', '3-5', '3-6', '3-7', '4-7', '5-7', '5-8', '5-9', '5-10', '6-10', '6-11', '6-12', '6-13', '6-14', '6-15', '6-16', '6-17', '7-17', '8-17', '8-18', '8-19', '8-20', '8-21']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,31-01-2018,HSBC BWF World Tour Super 500,WD,Round of 32,1,2,False,21-16,21-7,,Wing Yung Ng,Nga Ting Yeung,Kuhoo Garg,Kuhoo Garg,HKG,HKG,IND,IND,42,23,7,3,3,0,3,2,1,0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '4-4', '4-5', '4-6', '5-6', '6-6', '7-6', '7-7', '7-8', '8-8', '9-8', '9-9', '10-9', '11-9', '11-10', '11-11', '12-11', '12-12', '13-12', '14-12', '14-13', '14-14', '15-14', '16-14', '17-14', '17-15', '18-15', '19-15', '19-16', '20-16', '21-16']",7.0,3.0,2.0,0.0,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '5-1', '6-1', '7-1', '8-1', '8-2', '9-2', '10-2', '11-2', '12-2', '12-3', '13-3', '13-4', '13-5', '13-6', '14-6', '15-6', '16-6', '17-6', '18-6', '19-6', '20-6', '20-7', '21-7']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,31-01-2018,HSBC BWF World Tour Super 500,WD,Round of 32,1,2,False,21-8,21-9,,Della Destiara Haris,Rizki Amelia Pradipta,Deeksha Choudhary,Deeksha Choudhary,INA,INA,IND,IND,42,17,14,2,2,0,7,2,1,0,"['0-0', '1-0', '1-1', '2-1', '3-1', '3-2', '3-3', '4-3', '5-3', '5-4', '6-4', '7-4', '7-5', '8-5', '9-5', '10-5', '10-6', '11-6', '12-6', '12-7', '13-7', '14-7', '14-8', '15-8', '16-8', '17-8', '18-8', '19-8', '20-8', '21-8']",7.0,2.0,1.0,0.0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '6-0', '7-0', '7-1', '7-2', '8-2', '9-2', '9-3', '10-3', '11-3', '12-3', '12-4', '13-4', '13-5', '14-5', '15-5', '16-5', '16-6', '16-7', '17-7', '18-7', '18-8', '18-9', '19-9', '20-9', '21-9']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,31-01-2018,HSBC BWF World Tour Super 500,WD,Round of 32,1,2,False,21-16,21-19,,Megha Morchana Bora,Sanghamitra Saikia,Dimpal Hazarika,Dimpal Hazarika,IND,IND,IND,IND,42,35,5,3,4,0,5,3,2,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '3-3', '3-4', '4-4', '4-5', '5-5', '6-5', '6-6', '6-7', '6-8', '7-8', '7-9', '8-9', '8-10', '9-10', '9-11', '10-11', '11-11', '12-11', '12-12', '13-12', '14-12', '14-13', '15-13', '16-13', '17-13', '18-13', '19-13', '19-14', '19-15', '20-15', '20-16', '21-16']",3.0,3.0,2.0,0.0,"['0-0', '0-1', '0-2', '1-2', '2-2', '2-3', '3-3', '3-4', '4-4', '4-5', '5-5', '6-5', '6-6', '7-6', '8-6', '9-6', '9-7', '9-8', '10-8', '11-8', '11-9', '11-10', '12-10', '13-10', '13-11', '13-12', '13-13', '14-13', '15-13', '15-14', '16-14', '16-15', '17-15', '17-16', '18-16', '18-17', '19-17', '19-18', '20-18', '20-19', '21-19']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,31-01-2018,HSBC BWF World Tour Super 500,WD,Round of 32,2,2,False,13-21,4-21,,Juhi Dewangan,Anamika Kashyap,Chayanit Chaladchalam,Chayanit Chaladchalam,IND,IND,THA,THA,17,42,3,10,0,3,3,5,0,2,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '2-4', '2-5', '2-6', '3-6', '4-6', '4-7', '4-8', '4-9', '5-9', '5-10', '5-11', '5-12', '5-13', '5-14', '6-14', '6-15', '7-15', '8-15', '9-15', '9-16', '10-16', '10-17', '10-18', '11-18', '12-18', '12-19', '12-20', '13-20', '13-21']",1.0,9.0,0.0,1.0,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '0-6', '0-7', '0-8', '0-9', '1-9', '1-10', '1-11', '2-11', '2-12', '3-12', '3-13', '3-14', '3-15', '3-16', '3-17', '3-18', '3-19', '4-19', '4-20', '4-21']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,31-01-2018,HSBC BWF World Tour Super 500,WD,Round of 32,2,2,False,3-21,9-21,,Dhanya Nair,Ashna Roy,Tong Wei Cao,Tong Wei Cao,IND,IND,CHN,CHN,12,42,2,11,0,2,1,11,0,1,"['0-0', '0-1', '1-1', '1-2', '1-3', '1-4', '1-5', '1-6', '1-7', '2-7', '2-8', '2-9', '2-10', '2-11', '2-12', '2-13', '2-14', '2-15', '2-16', '2-17', '2-18', '3-18', '3-19', '3-20', '3-21']",2.0,6.0,0.0,1.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '2-3', '3-3', '3-4', '3-5', '3-6', '3-7', '3-8', '4-8', '4-9', '5-9', '5-10', '6-10', '6-11', '6-12', '6-13', '6-14', '6-15', '6-16', '7-16', '7-17', '8-17', '9-17', '9-18', '9-19', '9-20', '9-21']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,31-01-2018,HSBC BWF World Tour Super 500,WD,Round of 32,1,2,False,21-13,21-2,,Aparna Balan,Sruthi K.P,Ariel Lee,Ariel Lee,IND,IND,USA,USA,42,15,16,3,3,0,8,3,2,0,"['0-0', '1-0', '1-1', '2-1', '3-1', '4-1', '5-1', '6-1', '7-1', '8-1', '9-1', '9-2', '10-2', '11-2', '11-3', '11-4', '11-5', '12-5', '12-6', '12-7', '13-7', '14-7', '15-7', '15-8', '16-8', '16-9', '17-9', '17-10', '18-10', '18-11', '19-11', '19-12', '20-12', '20-13', '21-13']",16.0,1.0,1.0,0.0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '5-1', '5-2', '6-2', '7-2', '8-2', '9-2', '10-2', '11-2', '12-2', '13-2', '14-2', '15-2', '16-2', '17-2', '18-2', '19-2', '20-2', '21-2']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,31-01-2018,HSBC BWF World Tour Super 500,WD,Round of 32,1,2,False,21-6,21-9,,Greysia Polii,Apriyani Rahayu,Harika Veludurthi,Harika Veludurthi,INA,INA,IND,IND,42,15,7,2,2,0,7,1,1,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '5-3', '6-3', '7-3', '8-3', '8-4', '9-4', '10-4', '11-4', '12-4', '13-4', '14-4', '15-4', '15-5', '16-5', '17-5', '17-6', '18-6', '19-6', '20-6', '21-6']",7.0,2.0,1.0,0.0,"['0-0', '1-0', '2-0', '2-1', '3-1', '4-1', '4-2', '5-2', '6-2', '6-3', '7-3', '7-4', '8-4', '9-4', '10-4', '11-4', '12-4', '13-4', '14-4', '14-5', '15-5', '15-6', '16-6', '16-7', '17-7', '17-8', '17-9', '18-9', '19-9', '20-9', '21-9']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,31-01-2018,HSBC BWF World Tour Super 500,WD,Round of 32,2,2,False,7-21,2-21,,Anees Kowsar J.,Akshaya Saraboji,Chiew Sien Lim,Chiew Sien Lim,IND,IND,MAS,MAS,9,42,1,18,0,4,1,6,0,2,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '2-4', '3-4', '3-5', '3-6', '3-7', '4-7', '4-8', '4-9', '5-9', '5-10', '5-11', '5-12', '5-13', '5-14', '6-14', '6-15', '6-16', '6-17', '6-18', '6-19', '6-20', '7-20', '7-21']",1.0,18.0,0.0,2.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '1-5', '1-6', '1-7', '1-8', '1-9', '1-10', '1-11', '1-12', '1-13', '1-14', '1-15', '1-16', '1-17', '1-18', '1-19', '1-20', '2-20', '2-21']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,31-01-2018,HSBC BWF World Tour Super 500,WD,Round of 32,1,2,False,21-11,21-7,,Kamilla Rytter Juhl,Christinna Pedersen,Haritha Manazhiyil Harinarayanan,Haritha Manazhiyil Harinarayanan,DEN,DEN,IND,IND,42,18,6,3,6,0,6,3,4,0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '4-2', '4-3', '5-3', '6-3', '7-3', '8-3', '9-3', '9-4', '10-4', '10-5', '11-5', '12-5', '12-6', '13-6', '14-6', '15-6', '16-6', '17-6', '18-6', '18-7', '19-7', '19-8', '20-8', '20-9', '20-10', '20-11', '21-11']",6.0,2.0,2.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '5-2', '6-2', '7-2', '8-2', '9-2', '9-3', '10-3', '10-4', '10-5', '11-5', '12-5', '13-5', '14-5', '15-5', '16-5', '16-6', '17-6', '18-6', '19-6', '20-6', '20-7', '21-7']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,31-01-2018,HSBC BWF World Tour Super 500,WD,Round of 32,2,2,False,9-21,11-21,,Shenan Christian,Riya Gajjar,Ashwini Ponnappa,Ashwini Ponnappa,IND,IND,IND,IND,20,42,3,7,0,3,3,7,0,1,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '1-5', '1-6', '1-7', '1-8', '1-9', '1-10', '2-10', '2-11', '3-11', '3-12', '3-13', '4-13', '5-13', '6-13', '6-14', '6-15', '6-16', '6-17', '6-18', '7-18', '8-18', '8-19', '9-19', '9-20', '9-21']",2.0,4.0,0.0,2.0,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '2-4', '2-5', '2-6', '2-7', '2-8', '3-8', '4-8', '4-9', '5-9', '5-10', '5-11', '6-11', '6-12', '6-13', '7-13', '8-13', '8-14', '8-15', '9-15', '9-16', '9-17', '10-17', '10-18', '10-19', '10-20', '11-20', '11-21']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,31-01-2018,HSBC BWF World Tour Super 500,WD,Round of 32,2,2,False,2-21,12-21,,Shehjar Chowdhary,Anusha Goel,Rutaparna Panda,Rutaparna Panda,IND,IND,IND,IND,14,42,3,13,0,3,1,13,0,1,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '1-5', '1-6', '1-7', '1-8', '1-9', '1-10', '1-11', '1-12', '1-13', '1-14', '1-15', '1-16', '2-16', '2-17', '2-18', '2-19', '2-20', '2-21']",3.0,6.0,0.0,2.0,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '1-5', '2-5', '3-5', '4-5', '4-6', '4-7', '4-8', '5-8', '6-8', '6-9', '6-10', '6-11', '6-12', '6-13', '6-14', '7-14', '8-14', '8-15', '8-16', '8-17', '9-17', '9-18', '10-18', '11-18', '11-19', '11-20', '12-20', '12-21']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,31-01-2018,HSBC BWF World Tour Super 500,WD,Round of 32,2,2,False,18-21,11-21,,Sanyogita Ghorpade,Prajakta Sawant,Jongkolphan Kititharakul,Jongkolphan Kititharakul,IND,IND,THA,THA,29,42,4,6,0,2,4,3,0,1,"['0-0', '0-1', '1-1', '1-2', '1-3', '2-3', '3-3', '3-4', '3-5', '4-5', '5-5', '6-5', '7-5', '7-6', '7-7', '8-7', '9-7', '10-7', '10-8', '11-8', '11-9', '12-9', '12-10', '13-10', '13-11', '14-11', '14-12', '14-13', '14-14', '15-14', '16-14', '16-15', '16-16', '16-17', '17-17', '17-18', '18-18', '18-19', '18-20', '18-21']",2.0,6.0,0.0,1.0,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '3-3', '3-4', '4-4', '4-5', '4-6', '4-7', '4-8', '4-9', '4-10', '5-10', '6-10', '6-11', '7-11', '8-11', '8-12', '8-13', '9-13', '10-13', '10-14', '10-15', '10-16', '10-17', '10-18', '10-19', '11-19', '11-20', '11-21']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,31-01-2018,HSBC BWF World Tour Super 500,WD,Round of 32,1,2,False,21-2,21-2,,Yue Du,Yinhui Li,Rupal Anand,Rupal Anand,CHN,CHN,IND,IND,42,4,16,1,3,0,16,1,2,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '6-0', '7-0', '8-0', '9-0', '10-0', '11-0', '12-0', '13-0', '14-0', '15-0', '16-0', '16-1', '17-1', '18-1', '19-1', '20-1', '20-2', '21-2']",10.0,1.0,1.0,0.0,"['0-0', '1-0', '2-0', '3-0', '4-0', '5-0', '6-0', '7-0', '8-0', '9-0', '10-0', '10-1', '11-1', '12-1', '13-1', '14-1', '15-1', '16-1', '16-2', '17-2', '18-2', '19-2', '20-2', '21-2']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,31-01-2018,HSBC BWF World Tour Super 500,WD,Round of 32,2,2,False,12-21,12-21,,Saruni Sharma,Mayuri Yadav,Meghana Jakkampudi,Meghana Jakkampudi,IND,IND,IND,IND,24,42,3,6,0,3,3,4,0,2,"['0-0', '0-1', '0-2', '1-2', '1-3', '1-4', '1-5', '1-6', '2-6', '3-6', '4-6', '4-7', '4-8', '4-9', '4-10', '5-10', '5-11', '5-12', '5-13', '6-13', '7-13', '7-14', '7-15', '7-16', '8-16', '9-16', '9-17', '10-17', '10-18', '11-18', '11-19', '11-20', '12-20', '12-21']",3.0,6.0,0.0,1.0,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '1-5', '1-6', '2-6', '3-6', '3-7', '3-8', '4-8', '4-9', '4-10', '4-11', '4-12', '5-12', '5-13', '6-13', '6-14', '7-14', '7-15', '8-15', '8-16', '9-16', '9-17', '9-18', '10-18', '11-18', '12-18', '12-19', '12-20', '12-21']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,01-02-2018,HSBC BWF World Tour Super 500,WD,Round of 16,2,2,False,9-21,2-21,,Megha Morchana Bora,Sanghamitra Saikia,Ashwini Ponnappa,Ashwini Ponnappa,IND,IND,IND,IND,11,42,2,11,0,2,2,6,0,1,"['0-0', '1-0', '1-1', '2-1', '2-2', '3-2', '3-3', '3-4', '4-4', '4-5', '5-5', '5-6', '5-7', '5-8', '5-9', '6-9', '6-10', '7-10', '7-11', '7-12', '7-13', '7-14', '7-15', '8-15', '9-15', '9-16', '9-17', '9-18', '9-19', '9-20', '9-21']",1.0,9.0,0.0,1.0,"['0-0', '0-1', '0-2', '0-3', '0-4', '0-5', '1-5', '1-6', '1-7', '1-8', '1-9', '1-10', '1-11', '1-12', '1-13', '1-14', '2-14', '2-15', '2-16', '2-17', '2-18', '2-19', '2-20', '2-21']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,01-02-2018,HSBC BWF World Tour Super 500,WD,Round of 16,1,2,False,21-11,21-16,,Kamilla Rytter Juhl,Christinna Pedersen,Tong Wei Cao,Tong Wei Cao,DEN,DEN,CHN,CHN,42,27,7,4,4,0,7,3,2,0,"['0-0', '1-0', '1-1', '1-2', '2-2', '2-3', '2-4', '3-4', '4-4', '5-4', '5-5', '6-5', '6-6', '6-7', '6-8', '7-8', '8-8', '9-8', '10-8', '11-8', '12-8', '12-9', '13-9', '13-10', '14-10', '15-10', '16-10', '17-10', '18-10', '19-10', '20-10', '20-11', '21-11']",4.0,4.0,2.0,0.0,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '4-2', '5-2', '5-3', '5-4', '5-5', '5-6', '6-6', '7-6', '8-6', '9-6', '9-7', '10-7', '11-7', '11-8', '11-9', '12-9', '12-10', '13-10', '13-11', '14-11', '15-11', '15-12', '16-12', '17-12', '18-12', '18-13', '18-14', '19-14', '19-15', '20-15', '20-16', '21-16']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,01-02-2018,HSBC BWF World Tour Super 500,WD,Round of 16,1,2,False,21-18,24-22,,Yue Du,Yinhui Li,Chayanit Chaladchalam,Chayanit Chaladchalam,CHN,CHN,THA,THA,45,40,4,5,4,3,4,4,3,0,"['0-0', '1-0', '2-0', '3-0', '4-0', '4-1', '4-2', '5-2', '5-3', '5-4', '5-5', '5-6', '6-6', '7-6', '7-7', '8-7', '8-8', '8-9', '9-9', '10-9', '11-9', '12-9', '12-10', '13-10', '14-10', '14-11', '14-12', '14-13', '14-14', '15-14', '16-14', '17-14', '17-15', '18-15', '18-16', '19-16', '20-16', '20-17', '20-18', '21-18']",3.0,5.0,1.0,3.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '5-1', '5-2', '5-3', '5-4', '5-5', '5-6', '6-6', '7-6', '7-7', '7-8', '8-8', '9-8', '10-8', '10-9', '11-9', '12-9', '13-9', '13-10', '14-10', '14-11', '14-12', '14-13', '15-13', '16-13', '16-14', '16-15', '16-16', '16-17', '16-18', '17-18', '17-19', '18-19', '19-19', '19-20', '20-20', '20-21', '21-21', '21-22', '22-22', '23-22', '24-22']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,01-02-2018,HSBC BWF World Tour Super 500,WD,Round of 16,2,2,False,17-21,5-21,,Aparna Balan,Sruthi K.P,Jongkolphan Kititharakul,Jongkolphan Kititharakul,IND,IND,THA,THA,22,42,3,11,0,2,3,4,0,1,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '2-4', '3-4', '3-5', '4-5', '5-5', '5-6', '6-6', '7-6', '7-7', '8-7', '8-8', '8-9', '9-9', '9-10', '9-11', '9-12', '10-12', '10-13', '11-13', '11-14', '12-14', '12-15', '13-15', '14-15', '15-15', '15-16', '15-17', '16-17', '16-18', '16-19', '17-19', '17-20', '17-21']",1.0,11.0,0.0,1.0,"['0-0', '1-0', '1-1', '1-2', '1-3', '1-4', '1-5', '1-6', '1-7', '1-8', '1-9', '1-10', '1-11', '2-11', '2-12', '2-13', '2-14', '3-14', '3-15', '3-16', '3-17', '4-17', '4-18', '5-18', '5-19', '5-20', '5-21']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,01-02-2018,HSBC BWF World Tour Super 500,WD,Round of 16,1,2,False,21-19,22-20,,Greysia Polii,Apriyani Rahayu,Wing Yung Ng,Wing Yung Ng,INA,INA,HKG,HKG,43,39,4,7,4,0,3,6,2,0,"['0-0', '1-0', '1-1', '2-1', '2-2', '2-3', '3-3', '4-3', '5-3', '5-4', '5-5', '5-6', '5-7', '5-8', '5-9', '6-9', '7-9', '8-9', '8-10', '9-10', '10-10', '10-11', '11-11', '12-11', '13-11', '13-12', '14-12', '15-12', '15-13', '15-14', '16-14', '17-14', '17-15', '18-15', '18-16', '18-17', '18-18', '19-18', '20-18', '20-19', '21-19']",4.0,7.0,2.0,0.0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '4-3', '4-4', '4-5', '4-6', '4-7', '4-8', '5-8', '6-8', '7-8', '7-9', '7-10', '8-10', '8-11', '9-11', '10-11', '10-12', '11-12', '11-13', '12-13', '12-14', '13-14', '14-14', '14-15', '14-16', '15-16', '15-17', '15-18', '16-18', '17-18', '18-18', '19-18', '19-19', '20-19', '20-20', '21-20', '22-20']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,01-02-2018,HSBC BWF World Tour Super 500,WD,Round of 16,1,2,False,21-17,22-20,,Kittipak Dubthuk,Natcha Saengchote,Wenjing Dong,Wenjing Dong,THA,THA,CHN,CHN,43,37,7,4,5,0,7,4,3,0,"['0-0', '0-1', '1-1', '1-2', '2-2', '2-3', '2-4', '3-4', '4-4', '5-4', '6-4', '6-5', '6-6', '6-7', '6-8', '7-8', '7-9', '8-9', '8-10', '9-10', '9-11', '10-11', '11-11', '12-11', '12-12', '12-13', '12-14', '13-14', '14-14', '15-14', '16-14', '17-14', '18-14', '19-14', '19-15', '20-15', '20-16', '20-17', '21-17']",3.0,3.0,2.0,0.0,"['0-0', '0-1', '0-2', '1-2', '1-3', '2-3', '2-4', '2-5', '2-6', '3-6', '4-6', '5-6', '5-7', '6-7', '7-7', '7-8', '8-8', '8-9', '9-9', '9-10', '10-10', '11-10', '12-10', '12-11', '13-11', '13-12', '13-13', '14-13', '15-13', '15-14', '15-15', '15-16', '16-16', '16-17', '17-17', '18-17', '18-18', '19-18', '19-19', '20-19', '20-20', '21-20', '22-20']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,01-02-2018,HSBC BWF World Tour Super 500,WD,Round of 16,1,2,False,21-6,21-15,,Della Destiara Haris,Rizki Amelia Pradipta,Chiew Sien Lim,Chiew Sien Lim,INA,INA,MAS,MAS,42,21,5,5,4,0,5,1,2,0,"['0-0', '1-0', '2-0', '3-0', '3-1', '4-1', '4-2', '5-2', '6-2', '7-2', '8-2', '9-2', '9-3', '10-3', '11-3', '12-3', '13-3', '13-4', '14-4', '15-4', '16-4', '16-5', '17-5', '18-5', '19-5', '20-5', '20-6', '21-6']",4.0,5.0,2.0,0.0,"['0-0', '0-1', '1-1', '2-1', '2-2', '3-2', '3-3', '4-3', '5-3', '5-4', '6-4', '7-4', '7-5', '8-5', '8-6', '9-6', '9-7', '10-7', '11-7', '12-7', '13-7', '13-8', '14-8', '14-9', '15-9', '16-9', '16-10', '16-11', '16-12', '16-13', '16-14', '17-14', '18-14', '19-14', '20-14', '20-15', '21-15']",,,,,[]
YONEX-SUNRISE DR. AKHILESH DAS GUPTA India Open 2018,New Delhi,India,01-02-2018,HSBC BWF World Tour Super 500,WD,Round of 16,2,2,False,12-21,18-21,,Rutaparna Panda,Mithula U K,Meghana Jakkampudi,Meghana Jakkampudi,IND,IND,IND,IND,30,42,5,11,0,2,4,11,0,1,"['0-0', '0-1', '1-1', '2-1', '3-1', '4-1', '4-2', '4-3', '5-3', '5-4', '5-5', '6-5', '6-6', '6-7', '7-7', '8-7', '9-7', '9-8', '9-9', '9-10', '9-11', '9-12', '9-13', '9-14', '9-15', '9-16', '9-17', '9-18', '10-18', '10-19', '11-19', '12-19', '12-20', '12-21']",5.0,3.0,0.0,1.0,"['0-0', '0-1', '0-2', '0-3', '1-3', '1-4', '2-4', '3-4', '3-5', '4-5', '4-6', '4-7', '5-7', '5-8', '5-9', '6-9', '6-10', '7-10', '7-11', '8-11', '8-12', '8-13', '9-13', '9-14', '9-15', '9-16', '10-16', '11-16', '11-17', '12-17', '13-17', '14-17', '15-17', '16-17', '16-18', '16-19', '17-19', '18-19', '18-20', '18-21']",,,,,[]
